18250	HORSES	
18250	SHEEP	
18250	SWINE (PIGS)	
18251	HORSES	
18300	DOGS	
18365	SWINE (PIGS)	
18373	CATS	
18373	DOGS	
18512	CATS	
18512	DOGS	
18564	DOGS	
18569	DOGS	
1858	CATS	
1858	CATTLE	
1858	DOGS	
1858	HORSES	
1858	SHEEP	
1858	SWINE (PIGS)	
1859	CATTLE	
1859	HORSES	
1859	SHEEP	
1859	SWINE (PIGS)	
18605	CATS	
18605	DOGS	
18661	HORSES	
1868	DOG OR CAT	
18790	CATTLE	
18831	CATTLE	DAIRY CATTLE
1893	DOG OR CAT	
1908	CATTLE	
1908	SHEEP	
1908	SWINE (PIGS)	
19118	DOGS	
19118	HORSES	
1925	CATS	
1925	CATTLE	
1925	DOGS	
1925	GOATS	
1925	HORSES	
1925	SHEEP	LAMB
1925	SWINE (PIGS)	
19251	CATTLE	
19251	SHEEP	
19251	SWINE (PIGS)	
1927	CATTLE	
1928	CATTLE	CALVES
1928	POULTRY	BREEDER CHICKENS
1928	POULTRY	BROILER CHICKENS
1928	POULTRY	REPLACEMENT CHICKENS
1928	POULTRY	TURKEYS
1928	SWINE (PIGS)	
19288	CATTLE	BEEF CATTLE
19308	CATS	
19308	DOGS	
1938	CATS	
1938	DOGS	
19421	CATTLE	DAIRY CATTLE
19422	CATTLE	BEEF CATTLE
1944	DOG OR CAT	
19499	HORSES	
19500	CATS	
19500	CATTLE	
19500	DOGS	
19502	DOGS	
19503	HORSES	
19551	POULTRY	
19551	SWINE (PIGS)	
19632	CATTLE	DAIRY CATTLE
19633	CATTLE	DAIRY CATTLE
1965	HORSES	
1969	HORSES	
1969	POULTRY	CHICKENS
1969	POULTRY	TURKEYS
1969	SWINE (PIGS)	
19694	CATTLE	
19694	DOGS	
19694	HORSES	
19694	SHEEP	
19694	SWINE (PIGS)	
1970	CATTLE	
1970	SWINE (PIGS)	
1972	CATTLE	
19745	CATTLE	
19745	SWINE (PIGS)	
19747	CATTLE	
19747	SWINE (PIGS)	
19748	CATTLE	
19748	POULTRY	TURKEYS
19748	SWINE (PIGS)	
19749	CATTLE	
19749	POULTRY	TURKEYS
19749	SWINE (PIGS)	
19752	WILD/MISCELLANEOUS	ELK
19752	WILD/MISCELLANEOUS	MOOSE
19753	CATTLE	COWS-LACTATING
1985	CATTLE	
1985	DOG OR CAT	
1985	HORSES	
1985	SHEEP	
1985	SWINE (PIGS)	
1986	BIRDS	COMPANION BIRDS
1986	CATTLE	
1986	GOATS	
1986	HORSES	
1986	SHEEP	
1986	SWINE (PIGS)	
1986	WILD/MISCELLANEOUS	
20089	SWINE (PIGS)	
20100	CATS	
20100	CATTLE	
20100	DOGS	
20100	HORSES	
20103	CATTLE	CALVES
2022	HORSES	
